FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
"struct_variant (2051, 2056)",1.000,1.000,1.000,0.000,false,false,"/VariantAccess<'a, R> (2030,2057)/struct_variant (2051,2056)"
"variant_seed (2020, 2027)",1.000,1.000,1.000,0.000,false,false,"/VariantAccess<'a, R> (2016,2028)/variant_seed (2020,2027)"
"new (2011, 2013)",1.000,1.000,1.000,0.000,false,false,"/VariantAccess<'a, R> (2010,2014)/new (2011,2013)"
"next_key_seed (1963, 1994)",7.452,0.677,11.000,0.000,false,false,"/MapAccess<'a, R> (1960,2004)/next_key_seed (1963,1994)"
"next_value_seed (1996, 2003)",1.000,1.000,1.000,0.000,false,false,"/MapAccess<'a, R> (1960,2004)/next_value_seed (1996,2003)"
"new (1955, 1957)",1.000,1.000,1.000,0.000,false,false,"/MapAccess<'a, R> (1954,1958)/new (1955,1957)"
"next_element_seed (1916, 1946)",6.667,0.667,10.000,0.000,false,false,"/SeqAccess<'a, R> (1913,1947)/next_element_seed (1916,1946)"
"new (1908, 1910)",1.000,1.000,1.000,0.000,false,false,"/SeqAccess<'a, R> (1907,1911)/new (1908,1910)"
"deserialize_any (1310, 1384)",13.333,1.333,20.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_any (1310,1384)"
"deserialize_bool (1386, 1415)",4.571,0.571,8.252,5.053,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_bool (1386,1415)"
"deserialize_f32 (1430, 1438)",0.000,0.000,2.000,4.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_f32 (1430,1438)"
"deserialize_char (1504, 1509)",1.000,1.000,1.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_char (1504,1509)"
"deserialize_str (1511, 1538)",6.231,0.692,9.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_str (1511,1538)"
"deserialize_string (1540, 1545)",1.000,1.000,1.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_string (1540,1545)"
"deserialize_bytes (1617, 1645)",5.556,0.556,10.933,8.421,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_bytes (1617,1645)"
"deserialize_byte_buf (1648, 1653)",1.000,1.000,1.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_byte_buf (1648,1653)"
"deserialize_option (1657, 1669)",2.308,0.769,3.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_option (1657,1669)"
"deserialize_unit (1671, 1695)",4.870,0.696,7.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_unit (1671,1695)"
"deserialize_unit_struct (1697, 1702)",0.000,0.000,2.000,4.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_unit_struct (1697,1702)"
"deserialize_newtype_struct (1706, 1719)",0.000,0.000,6.000,8.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_newtype_struct (1706,1719)"
"deserialize_seq (1721, 1751)",6.107,0.679,9.010,1.800,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_seq (1721,1751)"
"deserialize_tuple (1753, 1758)",1.000,1.000,1.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_tuple (1753,1758)"
"deserialize_tuple_struct (1760, 1770)",0.000,0.000,2.000,4.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_tuple_struct (1760,1770)"
"deserialize_map (1772, 1802)",5.786,0.643,9.081,3.600,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_map (1772,1802)"
"deserialize_struct (1804, 1850)",8.651,0.721,12.004,1.500,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_struct (1804,1850)"
"deserialize_enum (1855, 1884)",4.966,0.621,8.187,4.571,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_enum (1855,1884)"
"deserialize_identifier (1886, 1891)",1.000,1.000,1.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_identifier (1886,1891)"
"deserialize_ignored_any (1893, 1899)",1.000,1.000,1.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_ignored_any (1893,1899)"
"from_str (1220, 1224)",1.000,1.000,1.000,0.000,false,false,"/Number (1217,1225)/from_str (1220,1224)"
"end (139, 144)",2.500,0.833,3.000,0.000,false,false,"/Deserializer<R> (135,1215)/end (139,144)"
"into_iter (147, 161)",1.154,1.154,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/into_iter (147,161)"
"disable_recursion_limit (208, 210)",0.000,0.000,2.000,4.000,false,false,"/Deserializer<R> (135,1215)/disable_recursion_limit (208,210)"
"peek (212, 214)",1.000,1.000,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/peek (212,214)"
"peek_or_null (216, 218)",1.000,1.000,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/peek_or_null (216,218)"
"eat_char (220, 222)",1.000,1.000,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/eat_char (220,222)"
"next_char (224, 226)",1.000,1.000,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/next_char (224,226)"
"next_char_or_null (228, 230)",1.000,1.000,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/next_char_or_null (228,230)"
"error (234, 237)",1.000,1.000,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/error (234,237)"
"peek_error (241, 244)",1.000,1.000,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/peek_error (241,244)"
"parse_whitespace (248, 259)",2.667,0.667,4.000,0.000,false,false,"/Deserializer<R> (135,1215)/parse_whitespace (248,259)"
"peek_invalid_type (262, 310)",7.917,0.833,44.203,31.294,false,true,"/Deserializer<R> (135,1215)/peek_invalid_type (262,310)"
"deserialize_number (312, 336)",5.565,0.696,8.000,0.000,false,false,"/Deserializer<R> (135,1215)/deserialize_number (312,336)"
"fix_position (367, 369)",2.000,1.000,2.000,0.000,false,false,"/Deserializer<R> (135,1215)/fix_position (367,369)"
"parse_ident (371, 386)",3.333,0.667,5.000,0.000,false,false,"/Deserializer<R> (135,1215)/parse_ident (371,386)"
"parse_integer (388, 433)",8.757,0.730,12.007,1.714,false,false,"/Deserializer<R> (135,1215)/parse_integer (388,433)"
"parse_number (435, 454)",4.333,0.722,6.000,0.000,false,false,"/Deserializer<R> (135,1215)/parse_number (435,454)"
"parse_decimal (456, 488)",7.704,0.963,8.000,0.000,false,false,"/Deserializer<R> (135,1215)/parse_decimal (456,488)"
"parse_exponent (490, 544)",7.891,0.717,11.003,1.294,false,false,"/Deserializer<R> (135,1215)/parse_exponent (490,544)"
